season,raw_character_text,word_count
6,Selma Bouvier,218.0
6,Sideshow Bob,473.0
6,Sideshow Mel,34.0
6,Waylon Smithers,528.0
7,Agnes Skinner,35.0
7,Apu Nahasapeemapetilon,1456.0
7,Barney Gumble,124.0
7,Bart Simpson,5555.0
7,C. Montgomery Burns,2860.0
7,Carl Carlson,108.0
7,Chief Wiggum,1040.0
7,Cletus Spuckler,91.0
7,Comic Book Guy,500.0
7,Dr. Julius Hibbert,184.0
7,Edna Krabappel-Flanders,190.0
7,Fat Tony,86.0
7,Gary Chalmers,258.0
7,Grampa Simpson,1613.0
7,Groundskeeper Willie,184.0
7,Homer Simpson,9605.0
7,Jimbo Jones,55.0
7,Kent Brockman,552.0
7,Kirk Van Houten,165.0
7,Krusty the Clown,1262.0
7,Lenny Leonard,181.0
7,Lisa Simpson,5257.0
7,Lou,139.0
7,Marge Simpson,4724.0
7,Martin Prince,240.0
7,Mayor Joe Quimby,373.0
7,Milhouse Van Houten,1192.0
7,Moe Szyslak,1329.0
7,Ned Flanders,940.0
7,Nelson Muntz,274.0
7,Otto Mann,216.0
7,Patty Bouvier,123.0
7,Professor Jonathan Frink,185.0
7,Ralph Wiggum,124.0
7,Rev. Timothy Lovejoy,365.0
7,Selma Bouvier,736.0
7,Sideshow Bob,564.0
7,Sideshow Mel,187.0
7,Waylon Smithers,1536.0
8,Agnes Skinner,221.0
8,Apu Nahasapeemapetilon,224.0
8,Barney Gumble,278.0
8,Bart Simpson,4700.0
8,C. Montgomery Burns,3106.0
8,Carl Carlson,190.0
8,Chief Wiggum,1653.0
8,Cletus Spuckler,94.0
8,Comic Book Guy,265.0
8,Dr. Julius Hibbert,552.0
8,Edna Krabappel-Flanders,589.0
8,Fat Tony,231.0
8,Gary Chalmers,348.0
8,Grampa Simpson,590.0
8,Groundskeeper Willie,195.0
8,Homer Simpson,10119.0
8,Jimbo Jones,68.0
8,Kent Brockman,1084.0
8,Kirk Van Houten,581.0
8,Krusty the Clown,627.0
8,Lenny Leonard,383.0
8,Lisa Simpson,4361.0
8,Lou,82.0
8,Marge Simpson,5760.0
8,Martin Prince,82.0
8,Mayor Joe Quimby,301.0
8,Milhouse Van Houten,440.0
8,Moe Szyslak,1876.0
8,Ned Flanders,1557.0
8,Nelson Muntz,549.0
8,Otto Mann,91.0
8,Patty Bouvier,22.0
8,Professor Jonathan Frink,59.0
8,Ralph Wiggum,122.0
8,Rev. Timothy Lovejoy,907.0
8,Selma Bouvier,1.0
8,Sideshow Bob,979.0
8,Sideshow Mel,58.0
8,Waylon Smithers,809.0
9,Agnes Skinner,434.0
9,Apu Nahasapeemapetilon,1155.0
9,Barney Gumble,220.0
9,Bart Simpson,5297.0
9,C. Montgomery Burns,918.0
9,Carl Carlson,199.0
9,Chief Wiggum,863.0
9,Cletus Spuckler,82.0
9,Comic Book Guy,123.0
9,Dr. Julius Hibbert,359.0
9,Duffman,54.0
9,Edna Krabappel-Flanders,192.0
9,Gary Chalmers,193.0
9,Grampa Simpson,662.0
9,Groundskeeper Willie,291.0
9,Homer Simpson,13265.0
9,Jimbo Jones,119.0
9,Kent Brockman,1062.0
9,Kirk Van Houten,19.0
9,Krusty the Clown,1350.0
9,Lenny Leonard,323.0
9,Lisa Simpson,5085.0
9,Lou,37.0
9,Marge Simpson,5654.0
9,Martin Prince,71.0
9,Mayor Joe Quimby,287.0
9,Milhouse Van Houten,501.0
9,Moe Szyslak,2190.0
9,Ned Flanders,978.0
9,Nelson Muntz,461.0
9,Otto Mann,146.0
9,Patty Bouvier,49.0
9,Professor Jonathan Frink,133.0
9,Ralph Wiggum,434.0
9,Rev. Timothy Lovejoy,225.0
9,Selma Bouvier,91.0
9,Sideshow Mel,116.0
9,Waylon Smithers,257.0
10,Agnes Skinner,54.0
10,Apu Nahasapeemapetilon,536.0
10,Barney Gumble,116.0
10,Bart Simpson,3548.0
10,C. Montgomery Burns,1124.0
10,Carl Carlson,284.0
10,Chief Wiggum,1399.0
10,Cletus Spuckler,37.0
10,Comic Book Guy,308.0
10,Dr. Julius Hibbert,561.0
10,Edna Krabappel-Flanders,114.0
10,Fat Tony,144.0
10,Gary Chalmers,233.0
10,Grampa Simpson,641.0
10,Groundskeeper Willie,312.0
10,Homer Simpson,15303.0
10,Jimbo Jones,9.0
10,Kent Brockman,697.0
10,Kirk Van Houten,18.0
10,Krusty the Clown,317.0
10,Lenny Leonard,420.0
10,Lisa Simpson,4527.0
10,Lou,56.0
10,Marge Simpson,5461.0
10,Martin Prince,29.0
10,Mayor Joe Quimby,458.0
10,Milhouse Van Houten,289.0
10,Moe Szyslak,864.0
10,Ned Flanders,1214.0
10,Nelson Muntz,506.0
10,Otto Mann,53.0
10,Patty Bouvier,12.0
10,Professor Jonathan Frink,429.0
10,Ralph Wiggum,138.0
10,Rev. Timothy Lovejoy,282.0
10,Selma Bouvier,16.0
10,Sideshow Mel,30.0
10,Waylon Smithers,134.0
11,Agnes Skinner,46.0
11,Apu Nahasapeemapetilon,917.0
11,Barney Gumble,434.0
11,Bart Simpson,4245.0
11,C. Montgomery Burns,567.0
11,Carl Carlson,334.0
11,Chief Wiggum,787.0
11,Cletus Spuckler,46.0
11,Comic Book Guy,341.0
11,Dr. Julius Hibbert,394.0
11,Duffman,197.0
11,Edna Krabappel-Flanders,121.0
11,Fat Tony,108.0
11,Grampa Simpson,57.0
11,Groundskeeper Willie,47.0
11,Homer Simpson,12801.0
