season,number_in_season,episode_id,character,sentence_count
2,13,26,Lenny,2
2,13,26,Lisa,23
2,13,26,Lou,2
2,13,26,Marge,24
2,13,26,Martin Prince,2
2,13,26,Milhouse,2
2,13,26,Moe,4
2,13,26,Mr. Burns,8
2,13,26,Rev. Lovejoy,5
2,13,26,Smithers,5
2,14,27,Apu,2
2,14,27,Barney,9
2,14,27,Bart,20
2,14,27,Edna Krabappel,1
2,14,27,Groundskeeper Willie,3
2,14,27,Homer,34
2,14,27,Lisa,2
2,14,27,Marge,21
2,14,27,Martin Prince,3
2,14,27,Milhouse,1
2,14,27,Moe,7
2,14,27,Patty,48
2,14,27,Rev. Lovejoy,1
2,14,27,Selma,31
2,15,28,Bart,26
2,15,28,Dr. Hibbert,2
2,15,28,Grampa,24
2,15,28,Homer,99
2,15,28,Lisa,27
2,15,28,Marge,20
2,16,29,Apu,1
2,16,29,Bart,39
2,16,29,Brockman,1
2,16,29,Dr. Hibbert,7
2,16,29,Flanders,7
2,16,29,Homer,47
2,16,29,Krusty,2
2,16,29,Lenny,2
2,16,29,Lisa,26
2,16,29,Marge,38
2,16,29,Martin Prince,1
2,16,29,Otto,2
2,17,30,Bart,15
2,17,30,Grampa,114
2,17,30,Homer,43
2,17,30,Lisa,14
2,17,30,Marge,9
2,17,30,Moe,1
2,17,30,Mr. Burns,5
2,17,30,Otto,3
2,17,30,Professor Frink,4
2,18,31,Apu,3
2,18,31,Bart,18
2,18,31,Brockman,1
2,18,31,Carl,1
2,18,31,Dr. Hibbert,1
2,18,31,Homer,51
2,18,31,Krusty,7
2,18,31,Lisa,19
2,18,31,Marge,47
2,18,31,Mr. Burns,33
2,18,31,Smithers,13
2,19,32,Bart,28
2,19,32,Edna Krabappel,15
2,19,32,Homer,47
2,19,32,Lisa,73
2,19,32,Marge,20
2,19,32,Martin Prince,5
2,19,32,Milhouse,3
2,19,32,Nelson,1
2,19,32,Ralph,3
2,20,33,Barney,5
2,20,33,Bart,32
2,20,33,Dr. Hibbert,4
2,20,33,Flanders,8
2,20,33,Grampa,21
2,20,33,Homer,92
2,20,33,Lisa,16
2,20,33,Marge,47
2,20,33,Milhouse,1
2,20,33,Moe,1
2,20,33,Nelson,4
2,20,33,Otto,2
2,20,33,Rev. Lovejoy,23
2,21,34,Apu,2
2,21,34,Barney,1
2,21,34,Bart,122
2,21,34,Homer,36
2,21,34,Jimbo,1
2,21,34,Lisa,12
2,21,34,Lou,2
2,21,34,Marge,18
2,21,34,Martin Prince,20
2,21,34,Milhouse,26
2,21,34,Nelson,2
2,21,34,Otto,2
2,21,34,Patty,3
2,21,34,Selma,3
2,22,35,Barney,2
2,22,35,Bart,29
2,22,35,Carl,3
2,22,35,Dr. Hibbert,5
2,22,35,Homer,77
2,22,35,Lenny,1
2,22,35,Lisa,15
2,22,35,Marge,31
2,22,35,Mayor Quimby,3
2,22,35,Moe,5
2,22,35,Mr. Burns,50
2,22,35,Otto,3
2,22,35,Smithers,35
3,1,36,Apu,2
3,1,36,Bart,61
3,1,36,Brockman,1
3,1,36,Carl,1
3,1,36,Chief Wiggum,2
3,1,36,Grampa,1
3,1,36,Homer,66
3,1,36,Krusty,3
3,1,36,Lenny,1
3,1,36,Lisa,17
3,1,36,Marge,15
3,1,36,Mayor Quimby,2
3,1,36,Milhouse,3
3,1,36,Moe,1
3,1,36,Mr. Burns,7
3,1,36,Otto,1
3,1,36,Smithers,5
3,2,37,Barney,1
3,2,37,Bart,22
3,2,37,Homer,54
3,2,37,Lenny,2
3,2,37,Lisa,45
3,2,37,Marge,21
3,2,37,Moe,1
3,2,37,Mr. Burns,2
3,2,37,Nelson,1
3,2,37,Smithers,1
3,3,38,Barney,4
3,3,38,Bart,24
3,3,38,Flanders,58
3,3,38,Homer,83
3,3,38,Jimbo,3
3,3,38,Lisa,15
3,3,38,Marge,13
3,3,38,Moe,3
3,3,38,Mr. Burns,13
3,3,38,Smithers,4
3,4,39,Bart,60
3,4,39,Brockman,2
3,4,39,Chief Wiggum,15
3,4,39,Edna Krabappel,5
3,4,39,Fat Tony,40
3,4,39,Groundskeeper Willie,2
3,4,39,Homer,21
3,4,39,Lisa,5
3,4,39,Lou,5
3,4,39,Marge,10
3,4,39,Milhouse,3
3,4,39,Mr. Burns,1
3,4,39,Nelson,1
3,4,39,Ralph,1
3,4,39,Rev. Lovejoy,1
3,4,39,Smithers,1
3,5,40,Apu,2
3,5,40,Barney,8
3,5,40,Bart,31
3,5,40,Brockman,8
3,5,40,Carl,2
3,5,40,Chief Wiggum,2
3,5,40,Grampa,1
3,5,40,Homer,44
3,5,40,Lenny,2
3,5,40,Lisa,13
3,5,40,Marge,16
3,5,40,Martin Prince,1
3,5,40,Milhouse,11
3,5,40,Moe,4
3,5,40,Mr. Burns,31
3,5,40,Otto,6
3,5,40,Professor Frink,1
3,5,40,Smithers,12
3,6,41,Apu,3
3,6,41,Barney,1
3,6,41,Bart,52
3,6,41,Chief Wiggum,1
3,6,41,Homer,12
3,6,41,Krusty,74
3,6,41,Lisa,24
3,6,41,Marge,12
3,6,41,Milhouse,5
3,6,41,Moe,2
3,6,41,Rev. Lovejoy,7
3,7,42,Apu,1
3,7,42,Barney,1
3,7,42,Bart,35
3,7,42,Brockman,1
3,7,42,Edna Krabappel,2
3,7,42,Flanders,5
3,7,42,Groundskeeper Willie,1
3,7,42,Homer,53
3,7,42,Krusty,2
3,7,42,Lenny,1
3,7,42,Lisa,23
3,7,42,Lou,1
3,7,42,Marge,20
3,7,42,Mayor Quimby,2
3,7,42,Moe,3
3,7,42,Mr. Burns,32
3,7,42,Otto,3
3,7,42,Smithers,17
3,8,43,Apu,22
3,8,43,Bart,18
3,8,43,Flanders,1
3,8,43,Grampa,6
3,8,43,Groundskeeper Willie,2
3,8,43,Homer,112
3,8,43,Lisa,31
3,8,43,Marge,37
3,8,43,Moe,4
3,8,43,Mr. Burns,8
3,8,43,Nelson,2
3,8,43,Ralph,1
3,8,43,Smithers,3
3,9,44,Barney,2
3,9,44,Bart,38
3,9,44,Dr. Hibbert,5
3,9,44,Flanders,2
3,9,44,Homer,84
3,9,44,Lisa,6
3,9,44,Marge,24
3,9,44,Martin Prince,19
3,9,44,Mayor Quimby,1
3,9,44,Milhouse,2
3,9,44,Nelson,9
3,9,44,Patty,6
3,9,44,Selma,6
3,10,45,Barney,5
3,10,45,Bart,18
3,10,45,Brockman,7
3,10,45,Edna Krabappel,8
3,10,45,Homer,64
3,10,45,Krusty,2
3,10,45,Lisa,7
3,10,45,Marge,8
3,10,45,Martin Prince,1
3,10,45,Mayor Quimby,2
3,10,45,Moe,71
3,10,45,Nelson,1
3,10,45,Patty,2
3,10,45,Professor Frink,1
3,10,45,Selma,2
3,11,46,Barney,1
3,11,46,Bart,15
3,11,46,Brockman,2
3,11,46,Carl,7
3,11,46,Grampa,1
3,11,46,Homer,69
3,11,46,Lenny,5
3,11,46,Lisa,5
3,11,46,Marge,18
3,11,46,Mayor Quimby,1
3,11,46,Moe,13
3,11,46,Mr. Burns,47
3,11,46,Patty,1
3,11,46,Selma,1
3,11,46,Smithers,22
3,12,47,Bart,11
3,12,47,Dr. Hibbert,5
3,12,47,Grampa,2
3,12,47,Homer,112
3,12,47,Lisa,11
3,12,47,Marge,67
3,12,47,Mr. Burns,8
3,12,47,Patty,11
3,12,47,Selma,7
3,12,47,Smithers,9
3,13,48,Apu,1
3,13,48,Bart,57
3,13,48,Brockman,9
3,13,48,Chief Wiggum,5
3,13,48,Dr. Hibbert,1
3,13,48,Flanders,6
3,13,48,Groundskeeper Willie,9
3,13,48,Homer,39
3,13,48,Krusty,7
3,13,48,Lisa,13
3,13,48,Lou,6
3,13,48,Marge,20
3,13,48,Martin Prince,2
3,13,48,Mayor Quimby,2
3,13,48,Milhouse,1
3,13,48,Nelson,1
3,13,48,Patty,2
3,13,48,Professor Frink,1
3,13,48,Selma,1
3,13,48,Sideshow Mel,1
3,14,49,Barney,7
3,14,49,Bart,17
3,14,49,Chief Wiggum,1
3,14,49,Homer,96
3,14,49,Krusty,3
3,14,49,Lisa,61
3,14,49,Marge,31
3,14,49,Moe,17
3,14,49,Professor Frink,1
3,14,49,Ralph,1
3,14,49,Rev. Lovejoy,1
3,15,50,Barney,8
3,15,50,Bart,12
3,15,50,Brockman,2
3,15,50,Chief Wiggum,18
3,15,50,Homer,61
3,15,50,Krusty,1
3,15,50,Lisa,14
3,15,50,Lou,1
3,15,50,Marge,42
3,15,50,Mayor Quimby,5
3,15,50,Nelson,1
3,15,50,Otto,1
3,15,50,Patty,8
3,15,50,Selma,7
3,16,51,Apu,2
3,16,51,Bart,51
3,16,51,Edna Krabappel,35
3,16,51,Flanders,30
3,16,51,Groundskeeper Willie,1
3,16,51,Homer,49
3,16,51,Lisa,16
3,16,51,Marge,29
3,16,51,Milhouse,3
3,16,51,Nelson,3
3,16,51,Rev. Lovejoy,5
3,17,52,Apu,1
3,17,52,Barney,4
3,17,52,Bart,11
3,17,52,Carl,10
3,17,52,Chief Wiggum,6
3,17,52,Dr. Hibbert,4
3,17,52,Homer,47
3,17,52,Lenny,12
3,17,52,Lisa,7
3,17,52,Lou,3
3,17,52,Marge,12
3,17,52,Moe,4
3,17,52,Mr. Burns,63
3,17,52,Ralph,3
3,17,52,Smithers,23
3,18,53,Apu,1
3,18,53,Bart,50
3,18,53,Chief Wiggum,6
3,18,53,Edna Krabappel,7
3,18,53,Groundskeeper Willie,2
3,18,53,Homer,9
3,18,53,Lisa,30
3,18,53,Lou,9
3,18,53,Marge,22
3,18,53,Martin Prince,3
3,18,53,Mayor Quimby,1
3,18,53,Milhouse,7
3,18,53,Patty,2
3,18,53,Ralph,2
3,18,53,Selma,1
3,19,54,Apu,3
3,19,54,Barney,4
3,19,54,Bart,22
3,19,54,Brockman,15
3,19,54,Chief Wiggum,1
3,19,54,Flanders,1
3,19,54,Grampa,5
3,19,54,Homer,60
3,19,54,Krusty,2
3,19,54,Lenny,2
3,19,54,Lisa,11
3,19,54,Lou,1
3,19,54,Marge,32
3,19,54,Moe,2
3,19,54,Mr. Burns,18
3,19,54,Smithers,5
3,20,55,Barney,1
3,20,55,Bart,8
3,20,55,Carl,1
3,20,55,Homer,101
3,20,55,Krusty,2
3,20,55,Lenny,2
3,20,55,Lisa,7
3,20,55,Marge,39
3,20,55,Moe,5
3,20,55,Patty,1
3,21,56,Barney,1
3,21,56,Bart,26
3,21,56,Chief Wiggum,6
3,21,56,Homer,16
3,21,56,Krusty,14
3,21,56,Lisa,7
3,21,56,Marge,17
3,21,56,Patty,10
3,21,56,Rev. Lovejoy,1
3,21,56,Selma,45
3,21,56,Sideshow Bob,77
3,21,56,Sideshow Mel,1
3,22,57,Apu,2
3,22,57,Bart,36
3,22,57,Brockman,2
3,22,57,Chief Wiggum,1
3,22,57,Comic Book Guy,1
3,22,57,Homer,28
3,22,57,Lisa,7
3,22,57,Lou,1
3,22,57,Marge,22
3,22,57,Martin Prince,2
3,22,57,Milhouse,4
3,22,57,Nelson,2
3,22,57,Otto,57
3,22,57,Patty,10
3,22,57,Ralph,1
3,22,57,Selma,3
3,23,58,Bart,50
3,23,58,Brockman,2
3,23,58,Edna Krabappel,11
3,23,58,Homer,21
3,23,58,Kirk,1
3,23,58,Lisa,10
3,23,58,Marge,15
3,23,58,Martin Prince,5
3,23,58,Milhouse,33
3,23,58,Nelson,2
3,23,58,Otto,2
3,23,58,Ralph,1
3,24,59,Barney,4
3,24,59,Bart,10
3,24,59,Brockman,1
3,24,59,Carl,1
3,24,59,Flanders,9
3,24,59,Homer,56
3,24,59,Lenny,2
3,24,59,Lisa,15
3,24,59,Marge,19
3,24,59,Moe,2
3,24,59,Mr. Burns,14
3,24,59,Professor Frink,2
3,24,59,Smithers,6
4,1,60,Barney,2
4,1,60,Bart,46
4,1,60,Brockman,4
4,1,60,Dr. Hibbert,1
4,1,60,Edna Krabappel,7
4,1,60,Groundskeeper Willie,3
4,1,60,Homer,27
4,1,60,Jimbo,5
4,1,60,Krusty,20
4,1,60,Lisa,30
4,1,60,Marge,14
4,1,60,Martin Prince,4
4,1,60,Milhouse,4
4,1,60,Otto,2
4,1,60,Ralph,2
4,2,61,Apu,5
4,2,61,Bart,10
4,2,61,Chief Wiggum,5
4,2,61,Flanders,15
4,2,61,Homer,45
4,2,61,Lisa,10
4,2,61,Marge,59
4,2,61,Otto,4
4,3,62,Apu,8
4,3,62,Barney,2
4,3,62,Bart,12
4,3,62,Brockman,2
4,3,62,Chief Wiggum,2
4,3,62,Flanders,15
4,3,62,Groundskeeper Willie,2
4,3,62,Homer,90
4,3,62,Krusty,5
4,3,62,Lisa,8
4,3,62,Marge,22
4,3,62,Moe,2
4,3,62,Rev. Lovejoy,20
4,4,63,Barney,4
4,4,63,Bart,22
